primary,secondary,rank
Pelagius,Boudica,1
Pelagius,Minamoto no Yoshitsune,1
Pelagius,Joan of Arc,2
Pelagius,Cao Cao,2
Pelagius,Scipio Africanus,3
Pelagius,Frederick I,3
Pelagius,Hermann,4
Eulji Mundeok,Scipio Africanus,1
Eulji Mundeok,Charles Martel,1
Eulji Mundeok,Richard I,1
Eulji Mundeok,Boudica,2
Eulji Mundeok,Julius Caesar,2
Eulji Mundeok,Frederick I,2
Eulji Mundeok,Joan of Arc,3
Sun Tzu,Kusunoki Masashige,1
Sun Tzu,Yi Seong-Gye,1
Sun Tzu,Tomoe Gozen,2
Sun Tzu,Richard I,2
Sun Tzu,Joan of Arc,3
Sun Tzu,Boudica,4
Sun Tzu,Hermann,4
Kusunoki Masashige,Sun Tzu,1
Kusunoki Masashige,Yi Seong-Gye,1
Kusunoki Masashige,Hermann,1
Kusunoki Masashige,Frederick I,2
Kusunoki Masashige,Joan of Arc,3
Kusunoki Masashige,Boudica,4
Kusunoki Masashige,Scipio Africanus,4
Kusunoki Masashige,Tomoe Gozen,4
Hermann,Tomoe Gozen,1
Hermann,El Cid,1
Hermann,Joan of Arc,2
Hermann,Boudica,3
Hermann,Scipio Africanus,4
Scipio Africanus,Eulji Mundeok,1
Scipio Africanus,Richard I,1
Scipio Africanus,Boudica,2
Scipio Africanus,Julius Caesar,2
Scipio Africanus,Joan of Arc,3
Scipio Africanus,Charles Martel,3
Scipio Africanus,Frederick I,4
Scipio Africanus,Hannibal Barca,4
Boudica,Hermann,1
Boudica,Richard I,1
Boudica,Joan of Arc,2
Boudica,Minamoto no Yoshitsune,2
Boudica,Scipio Africanus,3
Boudica,Frederick I,3
Boudica,Eulji Mundeok,4
Boudica,Pelagius,4
Boudica,Tomoe Gozen,4
Boudica,Charles Martel,4
Boudica,Yi Seong-Gye,4
El Cid,Hermann,1
El Cid,Kusunoki Masashige,1
El Cid,Frederick I,2
El Cid,Boudica,2
El Cid,Minamoto no Yoshitsune,3
El Cid,Yi Seong-Gye,3
El Cid,Cao Cao,4
Cao Cao,Minamoto no Yoshitsune,1
Cao Cao,Pelagius,2
Cao Cao,Frederick I,3
Cao Cao,Richard I,4
Cao Cao,Joan of Arc,4
Yi Seong-Gye,Richard I,1
Yi Seong-Gye,Sun Tzu,2
Yi Seong-Gye,Kusunoki Masashige,3
Yi Seong-Gye,Frederick I,4
Yi Seong-Gye,Boudica,4
Yi Seong-Gye,Hermann,4
Yi Seong-Gye,Cao Cao,4
Yi Seong-Gye,Tomoe Gozen,4
Hannibal Barca,Julius Caesar,1
Hannibal Barca,Scipio Africanus,2
Hannibal Barca,Frederick I,3
Hannibal Barca,Joan of Arc,4
Hannibal Barca,Richard I,4
Hannibal Barca,Charles Martel,4
Frederick I,Hermann,1
Frederick I,Cao Cao,1
Frederick I,Julius Caesar,2
Frederick I,Richard I,3
Frederick I,Charles Martel,3
Frederick I,Scipio Africanus,4
Frederick I,Boudica,4
Frederick I,Joan of Arc,4
Frederick I,Pelagius,4
Frederick I,Yi Seong-Gye,4
Julius Caesar,Hannibal Barca,1
Julius Caesar,Scipio Africanus,2
Julius Caesar,Frederick I,3
Julius Caesar,Richard I,4
Julius Caesar,Charles Martel,4
Julius Caesar,Joan of Arc,4
Joan of Arc,Cleopatra VII,1
Minamoto no Yoshitsune,Cao Cao,1
Minamoto no Yoshitsune,Frederick I,2
Minamoto no Yoshitsune,Pelagius,3
Minamoto no Yoshitsune,Joan of Arc,4
Minamoto no Yoshitsune,Richard I,4
Minamoto no Yoshitsune,Scipio Africanus,4
Minamoto no Yoshitsune,Boudica,4
Minamoto no Yoshitsune,Hermann,4
Minamoto no Yoshitsune,Tomoe Gozen,4
Richard I,Charles Martel,1
Richard I,Eulji Mundeok,2
Richard I,Scipio Africanus,3
Richard I,Julius Caesar,4
Richard I,Boudica,4
Richard I,Joan of Arc,4
Richard I,Frederick I,4
Richard I,Hannibal Barca,4
Charles Martel,Richard I,1
Charles Martel,Eulji Mundeok,2
Charles Martel,Boudica,3
Charles Martel,Scipio Africanus,4
Charles Martel,Joan of Arc,4
Charles Martel,Frederick I,4
Charles Martel,Julius Caesar,4
Cleopatra VII,Centurion,1
Joan of Arc,Centurion,1
Sarka,Centurion,1
Constance,Centurion,1
Gaius Marius,Centurion,1
City Keeper,Richard I,1
City Keeper,Charles Martel,2
City Keeper,Eulji Mundeok,3
City Keeper,Scipio Africanus,4
City Keeper,Joan of Arc,4
City Keeper,Boudica,4
City Keeper,Frederick I,4
